nome,preco,stock,data
Computador Asus ROG Strix G13CHR i5-14400F 32GB DDR5 2TB RTX 4060 8GB,"1 299,90 €",Em stock,2025-03-26
Computador King Mod Limited-PC Ryzen 7 9700X 32GB DDR5 1TB RTX 4070 Ti SUPER WiFi W11,"2 299,90 €",Em stock,2025-03-26
Computador King Mod Limited-PC Ryzen 5 5600 32GB DDR4 1TB RTX 4060 Ti W11,"949,90 €",Em stock,2025-03-26
Computador King Mod Gamer-PC Powered by MSI - Mach 6 Ryzen 7 9800X3D 32GB DDR5 2TB RTX 5080 WiFi W11,"2 999,90 €",Em stock,2025-03-26
Computador King Mod Gamer-PC NZXT Ryzen 7 9800X3D 32GB DDR5 2TB RTX 5070 Ti WiFi W11,"3 099,90 €",Fazer Pré Reserva,2025-03-26
Computador King Mod Limited-PC NZXT Intel i5 14600KF 32GB DDR5 1TB RTX 4060 WiFi W11,"1 399,90 €",Fazer Pré Reserva,2025-03-26
Computador King Mod Gamer-PC Powered by NZXT i5 13400F 32GB DDR4 1TB RTX 4060 Ti 16GB WiFi W11,"1 399,90 €",Esgotado,2025-03-26
Computador King Mod Gamer-PC Powered by NZXT x MSI i5 14600KF 32GB DDR5 1TB RTX 4070 SUPER WiFi W11,"1 999,90 €",Esgotado,2025-03-26
Computador King Mod Gamer-PC Powered by ASUS Ryzen 7 9800X3D 32GB DDR5 2TB RTX 5080 WiFi W11,"4 199,90 €",Esgotado,2025-03-26
Computador King Mod Gamer-PC AMD Ryzen 7 8700G 32GB DDR5 1TB 780M WiFi W11,"849,90 €",Esgotado,2025-03-26
Computador King Mod Gamer-PC Powered by MSI - Mach 3.1 Ryzen 7 5700X3D 32GB DDR4 1TB RTX 5070 WiFi W11,"1 499,90 €",Esgotado,2025-03-26
Computador King Mod Limited-PC Ryzen 7 9800X3D 32GB DDR5 2TB RX 9070 XT WiFi W11,"2 599,90 €",Esgotado,2025-03-26
Computador King Mod Gamer-PC Ryzen 7 7800X3D 32GB DDR5 1TB RTX 5070 Ti WiFi W11,"2 499,90 €",Esgotado,2025-03-26
Computador King Mod Gamer-PC Ryzen 7 9800X3D 64GB DDR5 2TB RTX 5090 WiFi W11 V2,"5 999,90 €",Esgotado,2025-03-26
