nome,preco,stock,data
Computador AURA Gamer-PC Intel i5 14400F 32GB DDR5 1TB RTX 5060 Ti WiFi W11,"999,90 €",Em stock,2025-08-04
Computador AURA Gamer-PC Impakt Edition Intel i5 14400F 32GB DDR5 1TB RTX 5060 Ti 16GB WiFi W11,"1 219,90 €",Esgotado,2025-08-04
Computador AURA Limited-PC Intel i5 13400F 32GB DDR4 1TB RTX 4060 Ti W11 V2,"949,90 €",Esgotado,2025-08-04
Computador AURA Limited-PC Intel i5 13400F 32GB DDR4 1TB RTX 4060 Ti W11,"949,90 €",Esgotado,2025-08-04
Computador King Mod Gamer-PC x ASUS Impakt Edition Intel i5 14400F 32GB DDR4 1TB RTX 4060 WiFi W11,"849,90 €",Esgotado,2025-08-04
