,Unnamed: 0_ontem,nome,preco_ontem,stock_ontem,data_ontem,Unnamed: 0_hoje,preco_hoje,stock_hoje,data_hoje,diferença
0,11,Computador King Mod Limited-PC Ryzen 7 9800X3D 32GB DDR5 2TB RX 9070 XT WiFi W11,8599.9,Esgotado,2025-03-26,10,2599.9,Esgotado,2025-03-26,-6000.0
1,12,Computador King Mod Gamer-PC Ryzen 7 9800X3D 64GB DDR5 2TB RTX 5090 WiFi W11 V2,6999.9,Esgotado,2025-03-26,12,5999.9,Esgotado,2025-03-26,-1000.0
